tag,state,sha_out,us_submit,us_npu_wait,us_d2h_sync,us_readout,us_dispatch_cycle
warmup,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,65.19998714793473,7740.400003967807,104.20000762678683,1302.29999194853,9212.099990691058
warmup,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,50.9000092279166,4985.099993064068,53.800002206116915,1046.0999910719693,6135.899995570071
warmup,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,47.599998652003706,4920.099992887117,90.40000441018492,1420.0000005075708,6478.099996456876
run01,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,64.29999484680593,4886.499998974614,50.99999543745071,1048.9999986020848,6050.799987860955
run02,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,52.30000533629209,4873.799989582039,61.9000056758523,1387.0999973732978,6375.099997967482
run03,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,72.10001058410853,4935.399992973544,58.69999586138874,1337.599998805672,6403.799998224713
run04,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,48.300003982149065,4866.100003710017,52.499992307275534,1066.4000001270324,6033.300000126474
run05,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,42.20000118948519,4908.399991109036,89.90000060293823,1517.5000007729977,6557.999993674457
run06,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,57.600002037361264,4902.300002868287,51.60000000614673,1157.4999953154474,6169.000000227243
run07,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,55.199998314492404,4886.199996690266,59.90000499878079,1364.700001431629,6366.000001435168
run08,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,53.00001066643745,4860.2999886497855,50.1000031363219,1064.0000109560788,6027.400013408624
run09,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,58.79999662283808,4909.900002530776,50.699993153102696,1053.2000014791265,6072.599993785843
run10,4,df78300f8b6364169706285ee1cc9aa0f6da921f722cc8d97a8ef5d6546d54f4,40.8000050811097,4868.999996688217,58.09999129269272,1228.2000097911805,6196.1000028532
